1VMware,"VMware is a leading provider of multi-cloud services for all apps, enabling digital innovation with enterprise control. Also follow  @vmwarenews",
2VMware,"Learn everything you need to know about the world of SASE from the expert,  @brianmadden ! Get started __: https://bit.ly/3pSIHD2",
3VMware,"We're embracing SaaS-tainable changes.  CEO  @RaghuRaghuram sat down with Mansueto Ventures CEO,  @EricSchurenberg to talk about the power of disruption.  __: https://bit.ly/3DzZy2k",
4VMware,The Kubernetes tools landscape keeps growing! Find out how these tools can be used to build a SaaS platform on top of K8s _ https://bit.ly/31RxHgF,
5VMware,"Reliable, secure access to workloads on AWS for users anywhere in the world. Earth globe americas It's possible with VMware SD-WAN and AWS Cloud WAN. Read more Closed book: https://bit.ly/3ofiPBJ",
6VMware,The Kubernetes tools landscape keeps growing Hammer and wrench Let's take a look at some of these tools and how they can be used to build a SaaS platform on top of K8s. Arrow pointing rightwards then curving downwards https://bit.ly/31RxHgF,
7CNN,"A large fire tore through South Africa's parliament in Cape Town on Sunday, causing the roof of one building to collapse and gutting the chamber of the National Assembly.",
8CNN,"The independent Hong Kong news site Citizen News said it will be shutting down on Tuesday, citing the deteriorating media environment in the city and the need to protect its staff. https://t.co/NUOphBFNpy",
9CNN,"A large fire tore through South Africa's parliament in Cape Town on Sunday, causing the roof of one building to collapse and gutting the chamber of the National Assembly. https://t.co/uK6wbqQqAg",
10CNN,"Is it ever Too Late to listen to @Carole_King? Join @CNN for two legends, Carole King and @JamesTaylor_com, and a concert film you won’t want to miss! #JustCallOutMyName tonight at 9 p.m. ET/PT https://t.co/SjriszKiio",
11CNN,"Dr. Anthony Fauci said he anticipates \further clarification\"" on the CDC's updated guidelines to end the Covid-19 isolation period after five days for people who are not exhibiting symptoms. https://t.co/vAyQYJwKzB",
12CNN,Members of the House select committee investigating January 6 said Sunday that they have critical testimony about communications to former President Donald Trump on the day of the deadly attack. https://t.co/8MCbjpuF4P,
13CNN,"NASCAR is reviewing a sponsorship deal that driver Brandon Brown had announced with cryptocurrency meme coin LGBcoin -- a reference to the controversial \Let's Go Brandon\"" phrase. https://t.co/R89bYIbSga",
14CNN,Vancouver Canucks assistant equipment manager finally got to meet the woman who saved his life. https://t.co/ncdk2NQB0g,
15CNN,"At Desmond Tutu's request, the Nobel Peace Prize winner's body underwent aquamation -- considered to be a greener alternative to cremation -- South Africa's Anglican Church confirmed to CNN https://t.co/5Y1t0AjHTF",
16CNN,"It seems likely that Elon Musk has put at least some of the $16.4 billion he's collected from selling shares in Tesla into SpaceX, the other company of which he is CEO and primary shareholder. https://t.co/dJ1WH8ticn",
17CNN,"Rev. Gibson \Nibs\"" Stroupe -- who grew up in rural Arkansas -- said he didn't learn racism from unapologetic racists like members of the Ku Klux Klan. Nice White people taught him how to hate. https://t.co/G6aYGgSyz2",
18CNN,"An off-duty New York City Police Department officer was shot in the head while sleeping in his car on New Year's Day, police said. The officer underwent surgery and is recovering. https://t.co/Cy5WYffbDA",
19CNN,"The independent Hong Kong news site Citizen News said it will be shutting down on Tuesday, citing the deteriorating media environment in the city and the need to protect its staff. https://t.co/NUOphBFNpy",
20CNN,"A large fire tore through South Africa's parliament in Cape Town on Sunday, causing the roof of one building to collapse and gutting the chamber of the National Assembly. https://t.co/uK6wbqQqAg",
21CNN,"Is it ever Too Late to listen to @Carole_King? Join @CNN for two legends, Carole King and @JamesTaylor_com, and a concert film you won’t want to miss! #JustCallOutMyName tonight at 9 p.m. ET/PT https://t.co/SjriszKiio",
22CNN,"Dr. Anthony Fauci said he anticipates \further clarification\"" on the CDC's updated guidelines to end the Covid-19 isolation period after five days for people who are not exhibiting symptoms. https://t.co/vAyQYJwKzB",
23CNN,Members of the House select committee investigating January 6 said Sunday that they have critical testimony about communications to former President Donald Trump on the day of the deadly attack. https://t.co/8MCbjpuF4P,
24CNN,"NASCAR is reviewing a sponsorship deal that driver Brandon Brown had announced with cryptocurrency meme coin LGBcoin -- a reference to the controversial \Let's Go Brandon\"" phrase. https://t.co/R89bYIbSga",
25CNN,Vancouver Canucks assistant equipment manager finally got to meet the woman who saved his life. https://t.co/ncdk2NQB0g,
26CNN,"At Desmond Tutu's request, the Nobel Peace Prize winner's body underwent aquamation -- considered to be a greener alternative to cremation -- South Africa's Anglican Church confirmed to CNN https://t.co/5Y1t0AjHTF",
27CNN,"It seems likely that Elon Musk has put at least some of the $16.4 billion he's collected from selling shares in Tesla into SpaceX, the other company of which he is CEO and primary shareholder. https://t.co/dJ1WH8ticn",
